metro_area_name,state_abbreviation,total_population,total_housing_units,occupied_housing_units,vacant_housing_units,percent_occupied,percent_vacant
"Killeen-Temple, TX",TX,486416,189975,174498,15477,91.9,8.1
"Laredo, TX",TX,267945,86661,78730,7931,90.8,9.2
"Longview, TX",TX,287868,121614,106151,15463,87.3,12.7
"Lubbock, TX",TX,326546,142272,129092,13180,90.7,9.3
"McAllen-Edinburg-Mission, TX",TX,880356,301711,268598,33113,89,11
"Midland, TX",TX,172231,74232,68042,6190,91.7,8.3
"Odessa, TX",TX,161091,67660,64169,3491,94.8,5.2
"San Angelo, TX",TX,122066,53328,46604,6724,87.4,12.6
"San Antonio-New Braunfels, TX",TX,2601788,1036103,948519,87584,91.5,8.5
"Sherman-Denison, TX",TX,139336,60035,56005,4030,93.3,6.7
"Texarkana, TX-AR",TX,146424,65823,55179,10644,83.8,16.2
"Tyler, TX",TX,237186,98656,81175,17481,82.3,17.7
"Victoria, TX",TX,100796,44183,41036,3147,92.9,7.1
"Waco, TX",TX,280485,114212,102138,12074,89.4,10.6
"Wichita Falls, TX",TX,149013,64722,56846,7876,87.8,12.2
"Logan, UT-ID",UT,152492,50908,48180,2728,94.6,5.4
"Ogden-Clearfield, UT",UT,708543,240574,230356,10218,95.8,4.2
"Provo-Orem, UT",UT,696699,205348,197599,7749,96.2,3.8
"St. George, UT",UT,191226,78986,68090,10896,86.2,13.8
"Salt Lake City, UT",UT,1263061,464624,443798,20826,95.5,4.5
"Blacksburg-Christiansburg, VA",VA,168404,75957,66952,9005,88.1,11.9
"Charlottesville, VA",VA,220569,99167,88339,10828,89.1,10.9
"Harrisonburg, VA",VA,135824,54620,50478,4142,92.4,7.6
"Lynchburg, VA",VA,263571,118438,103894,14544,87.7,12.3
"Richmond, VA",VA,1317525,559393,521067,38326,93.1,6.9
"Roanoke, VA",VA,315442,148462,131211,17251,88.4,11.6
"Staunton, VA",VA,125774,55815,51802,4013,92.8,7.2
"Virginia Beach-Norfolk-Newport News, VA-NC",VA,1806423,768160,721212,46948,93.9,6.1
"Winchester, VA-WV",VA,142562,61209,52949,8260,86.5,13.5
"Burlington-South Burlington, VT",VT,226715,102345,93290,9055,91.2,8.8
"Bellingham, WA",WA,228831,101865,92219,9646,90.5,9.5
"Bremerton-Silverdale-Port Orchard, WA",WA,274314,114777,106399,8378,92.7,7.3
"Kennewick-Richland, WA",WA,308293,112273,105844,6429,94.3,5.7
"Longview, WA",WA,111524,45858,43204,2654,94.2,5.8
"Mount Vernon-Anacortes, WA",WA,130696,56411,51971,4440,92.1,7.9
"Olympia-Lacey-Tumwater, WA",WA,297977,123035,117186,5849,95.2,4.8
"Seattle-Tacoma-Bellevue, WA",WA,4011553,1678969,1584796,94173,94.4,5.6
"Spokane-Spokane Valley, WA",WA,593466,250393,237024,13369,94.7,5.3
"Walla Walla, WA",WA,62682,25168,23444,1724,93.2,6.8
"Wenatchee, WA",WA,123342,55820,47559,8261,85.2,14.8
"Yakima, WA",WA,256035,91355,86992,4363,95.2,4.8
"Appleton, WI",WI,244084,101944,98164,3780,96.3,3.7
"Eau Claire, WI",WI,173317,74717,70044,4673,93.7,6.3
"Fond du Lac, WI",WI,104362,45912,42758,3154,93.1,6.9
"Green Bay, WI",WI,329490,147435,135686,11749,92,8
"Janesville-Beloit, WI",WI,164381,70763,67876,2887,95.9,4.1
"La Crosse-Onalaska, WI-MN",WI,139211,61941,58000,3941,93.6,6.4
"Madison, WI",WI,683183,308095,292919,15176,95.1,4.9
"Milwaukee-Waukesha, WI",WI,1566487,695765,649303,46462,93.3,6.7
"Oshkosh-Neenah, WI",WI,171623,76554,72794,3760,95.1,4.9
"Racine, WI",WI,196896,84612,79068,5544,93.4,6.6
"Sheboygan, WI",WI,117747,52617,49416,3201,93.9,6.1
"Wausau-Weston, WI",WI,166189,76428,69891,6537,91.4,8.6
"Beckley, WV",WV,113698,53658,46282,7376,86.3,13.7
"Charleston, WV",WV,252942,126013,106310,19703,84.4,15.6
"Huntington-Ashland, WV-KY-OH",WV,356581,165989,144383,21606,87,13
